03:28:19.308 [main] INFO  a.p.p.c.c.L.Task -   2. 💯 ⚡ U for N got 200 523,87 KiB [💿590,55 KiB] in 13.056s, fc:1 | 36/316/72/190/3909 | 1cbub82 | file:///tmp/ln/f485385cdf75d34164bf2eba804ef336.htm | https://www.amazon.com/Best-Sellers/zgbs -outLinkSelector a[href~=/dp/]
03:28:19.308 [main] INFO  a.p.p.c.c.L.Task - Log explanation: https://github.com/platonai/pulsarr/blob/master/docs/log-format.adoc
03:28:28.196 [r-worker-1] INFO  a.p.p.c.c.L.Task -  16. 🗙 🗙 U for N got 0 0 <- 0 in 0s, fc:0 | 2h46dk2 | https://www.amazon.com/Amazon-Essentials-Short-Sleeve-Crewneck-T-Shirt/dp/B0775CSKNF/ref=zg-bs_fashion_sccl_2/143-1965694-3928365?pd_rd_w=NSnaA&content-id=amzn1.sym.309d45c5-3eba-4f62-9bb2-0acdcf0662e7&pf_rd_p=309d45c5-3eba-4f62-9bb2-0acdcf0662e7&pf_rd_r=QRYX7AJPCHPRJCDSJCNQ&pd_rd_wg=ewhy2&pd_rd_r=4a97d03c-b99e-404b-83b4-2b2384d54cf8&pd_rd_i=B0775CSKNF&psc=1 -outLinkSelector a[href~=/dp/]
03:28:28.462 [r-worker-1] INFO  a.p.p.c.c.L.Task -  15. 🗙 🗙 U for N got 0 0 <- 0 in 0s, fc:0 | 1cbub82 | https://www.amazon.com/Crocs-Unisex-Classic-Black-Women/dp/B0014C2NBC/ref=zg-bs_fashion_sccl_1/143-1965694-3928365?pd_rd_w=NSnaA&content-id=amzn1.sym.309d45c5-3eba-4f62-9bb2-0acdcf0662e7&pf_rd_p=309d45c5-3eba-4f62-9bb2-0acdcf0662e7&pf_rd_r=QRYX7AJPCHPRJCDSJCNQ&pd_rd_wg=ewhy2&pd_rd_r=4a97d03c-b99e-404b-83b4-2b2384d54cf8&pd_rd_i=B0014C2NBC&psc=1 -outLinkSelector a[href~=/dp/]
03:28:29.087 [r-worker-1] INFO  a.p.p.c.c.L.Task -   6. 🗙 🗙 U for N got 0 0 <- 0 in 0s, fc:0 | 1cbub82 | https://www.amazon.com/100PCS-disposable-shield-filter-protection/dp/B08C7HDF1F/ref=zg-bs_industrial_sccl_4/143-1965694-3928365?pd_rd_w=nCUXL&content-id=amzn1.sym.309d45c5-3eba-4f62-9bb2-0acdcf0662e7&pf_rd_p=309d45c5-3eba-4f62-9bb2-0acdcf0662e7&pf_rd_r=QRYX7AJPCHPRJCDSJCNQ&pd_rd_wg=ewhy2&pd_rd_r=4a97d03c-b99e-404b-83b4-2b2384d54cf8&pd_rd_i=B08C7HDF1F&psc=1 -outLinkSelector a[href~=/dp/]
03:28:29.091 [r-worker-1] INFO  a.p.p.c.c.L.Task -   5. 🗙 🗙 U for N got 0 0 <- 0 in 0s, fc:0 | 1cbub82 | https://www.amazon.com/iHealth-COVID-19-Authorized-Non-invasive-Discomfort/dp/B09NY9MMS3/ref=zg-bs_industrial_sccl_3/143-1965694-3928365?pd_rd_w=nCUXL&content-id=amzn1.sym.309d45c5-3eba-4f62-9bb2-0acdcf0662e7&pf_rd_p=309d45c5-3eba-4f62-9bb2-0acdcf0662e7&pf_rd_r=QRYX7AJPCHPRJCDSJCNQ&pd_rd_wg=ewhy2&pd_rd_r=4a97d03c-b99e-404b-83b4-2b2384d54cf8&pd_rd_i=B09NY9MMS3&psc=1 -outLinkSelector a[href~=/dp/]
03:28:29.459 [r-worker-1] INFO  a.p.p.c.c.L.Task -  18. 🗙 🗙 U for N got 0 0 <- 0 in 0s, fc:0 | 2h46dk2 | https://www.amazon.com/Fruit-Loom-Eversoft-Sweatshirts-Pullover-Black/dp/B08YHBW4J5/ref=zg-bs_fashion_sccl_4/143-1965694-3928365?pd_rd_w=NSnaA&content-id=amzn1.sym.309d45c5-3eba-4f62-9bb2-0acdcf0662e7&pf_rd_p=309d45c5-3eba-4f62-9bb2-0acdcf0662e7&pf_rd_r=QRYX7AJPCHPRJCDSJCNQ&pd_rd_wg=ewhy2&pd_rd_r=4a97d03c-b99e-404b-83b4-2b2384d54cf8&pd_rd_i=B08YHBW4J5&psc=1 -outLinkSelector a[href~=/dp/]
03:28:29.512 [r-worker-1] INFO  a.p.p.c.c.L.Task -  10. 🗙 Canceled 🗙 U for N got 0 0 <- 0 in 0s, fc:0 | 2h46dk2 | https://www.amazon.com/Extender-Splitter-MacBook-Chromebook-Pixelbook/dp/B09MLRPTT2/ref=zg-bs_pc_sccl_2/143-1965694-3928365?pd_rd_w=YGEjh&content-id=amzn1.sym.309d45c5-3eba-4f62-9bb2-0acdcf0662e7&pf_rd_p=309d45c5-3eba-4f62-9bb2-0acdcf0662e7&pf_rd_r=QRYX7AJPCHPRJCDSJCNQ&pd_rd_wg=ewhy2&pd_rd_r=4a97d03c-b99e-404b-83b4-2b2384d54cf8&pd_rd_i=B09MLRPTT2&psc=1 -outLinkSelector a[href~=/dp/]
03:28:29.621 [r-worker-1] INFO  a.p.p.c.c.L.Task -  13. 🗙 🗙 U for N got 0 0 <- 0 in 0s, fc:0 | 1cbub82 | https://www.amazon.com/Mac-Book-Pro-Charger-Compatible/dp/B09GFR7NSK/ref=zg-bs_pc_sccl_5/143-1965694-3928365?pd_rd_w=YGEjh&content-id=amzn1.sym.309d45c5-3eba-4f62-9bb2-0acdcf0662e7&pf_rd_p=309d45c5-3eba-4f62-9bb2-0acdcf0662e7&pf_rd_r=QRYX7AJPCHPRJCDSJCNQ&pd_rd_wg=ewhy2&pd_rd_r=4a97d03c-b99e-404b-83b4-2b2384d54cf8&pd_rd_i=B09GFR7NSK&psc=1 -outLinkSelector a[href~=/dp/]
03:28:29.947 [r-worker-1] INFO  a.p.p.c.c.L.Task -  14. 🗙 🗙 U for N got 0 0 <- 0 in 0s, fc:0 | 2h46dk2 | https://www.amazon.com/WiFi-6-Router-Gigabit-Wireless/dp/B08H8ZLKKK/ref=zg-bs_pc_sccl_6/143-1965694-3928365?pd_rd_w=YGEjh&content-id=amzn1.sym.309d45c5-3eba-4f62-9bb2-0acdcf0662e7&pf_rd_p=309d45c5-3eba-4f62-9bb2-0acdcf0662e7&pf_rd_r=QRYX7AJPCHPRJCDSJCNQ&pd_rd_wg=ewhy2&pd_rd_r=4a97d03c-b99e-404b-83b4-2b2384d54cf8&pd_rd_i=B08H8ZLKKK&psc=1 -outLinkSelector a[href~=/dp/]
03:28:30.248 [r-worker-1] INFO  a.p.p.c.c.L.Task -   9. 🗙 🗙 U for N got 0 0 <- 0 in 0s, fc:0 | 1cbub82 | https://www.amazon.com/Fire-HD-8-tablet/dp/B0839MQ8Y8/ref=zg-bs_pc_sccl_1/143-1965694-3928365?pd_rd_w=YGEjh&content-id=amzn1.sym.309d45c5-3eba-4f62-9bb2-0acdcf0662e7&pf_rd_p=309d45c5-3eba-4f62-9bb2-0acdcf0662e7&pf_rd_r=QRYX7AJPCHPRJCDSJCNQ&pd_rd_wg=ewhy2&pd_rd_r=4a97d03c-b99e-404b-83b4-2b2384d54cf8&pd_rd_i=B0839MQ8Y8&psc=1 -outLinkSelector a[href~=/dp/]
03:28:30.808 [r-worker-1] INFO  a.p.p.c.c.L.Task -  11. 🗙 🗙 U for N got 0 0 <- 0 in 0s, fc:0 | 1cbub82 | https://www.amazon.com/Fire-7-Kids-Tablet/dp/B099HDR2Y6/ref=zg-bs_pc_sccl_3/143-1965694-3928365?pd_rd_w=YGEjh&content-id=amzn1.sym.309d45c5-3eba-4f62-9bb2-0acdcf0662e7&pf_rd_p=309d45c5-3eba-4f62-9bb2-0acdcf0662e7&pf_rd_r=QRYX7AJPCHPRJCDSJCNQ&pd_rd_wg=ewhy2&pd_rd_r=4a97d03c-b99e-404b-83b4-2b2384d54cf8&pd_rd_i=B099HDR2Y6&psc=1 -outLinkSelector a[href~=/dp/]
03:28:30.921 [r-worker-1] INFO  a.p.p.c.c.L.Task -   8. 🗙 🗙 U for N got 0 0 <- 0 in 0s, fc:0 | 2h46dk2 | https://www.amazon.com/Digital-Infrared-Baby-Thermometer-Forehead/dp/B0824XNJSW/ref=zg-bs_industrial_sccl_6/143-1965694-3928365?pd_rd_w=nCUXL&content-id=amzn1.sym.309d45c5-3eba-4f62-9bb2-0acdcf0662e7&pf_rd_p=309d45c5-3eba-4f62-9bb2-0acdcf0662e7&pf_rd_r=QRYX7AJPCHPRJCDSJCNQ&pd_rd_wg=ewhy2&pd_rd_r=4a97d03c-b99e-404b-83b4-2b2384d54cf8&pd_rd_i=B0824XNJSW&psc=1 -outLinkSelector a[href~=/dp/]
